code;locale;name;descr
CREA;en;Created;Created
UPDT;en;Updated;Updated
EROR;en;Error;Error
PEND;en;PendingApproval;Pending Approval
INPR;en;InProcess;InProcess
APPR;en;Approved;Approved
REJE;en;Rejected;Rejected
